LOAN_ID,DATE,CUSTOMER_AGE,TOTAL_PAID,TOTAL_DUE_TODAY,BALANCE,DAYS_PAST_DUE,CLOSING_BALANCE,ADVANCE,BALANCE_DUE_TO_DATE,ARREARS,BALANCE_DUE_STATUS,PAYMENT,EXPECTED_PAYMENT,FIRST_PAYMENT,FIRST_EXPECTED_PAYMENT,ACCOUNT_STATUS_L1,ACCOUNT_STATUS_L2,RETURN_DATE,SALE_DATE,CREDIT_CHECK_DONE,PAYMENT_AMOUNT,ADJUSTMENT_AMOUNT,PREPAYMENT_AMOUNT,DEPOSIT,WEEKLY_RATE,CREDIT_EXPIRY,NEXT_INVOICE_DATE,,DISCOUNT,OVERPAYMENT_AMOUNT,MAX_PAYMENT_DATE,INITIAL_PAY,TOTAL_PAID_WITH_ADJUSTMENTS_15D
rechi2DELxf72sRnN,12/30/2025,209,52099,52099,23400,0,23400,0,0,0,up to date,0,0,0,0,Existing Active,Active,,6/4/2025,Y LOAN,,,0,7899,1300,12/31/2025,12/31/2025,,0,0,12/24/2025,14399,52099
reccW4deFY2vPyMpv,12/30/2025,75,17039,13299,30290,0,30290,3740,3740,0,advance,0,0,0,0,Existing Active,Active,,10/16/2025,Y LOAN,,,0,4169,830,1/29/2026,1/1/2026,,0,0,12/20/2025,4999,17039
recMB7v0kX8kvI6qY,12/30/2025,75,0,20199,68579,75,68579,0,-20199,20199,Arrears,0,0,0,0,First Month Default with inventory,Return,00:00.0,10/16/2025,Y LOAN,,,0,7219,1180,10/16/2025,1/1/2026,,0,0,,8399,0
recj4GxYRb9s3jc6S,12/30/2025,101,7739,19379,47530,80,47530,0,-11640,11640,Arrears,0,0,0,0,First Month Default without inventory over 30,FMD,,9/20/2025,Y LOAN,,,0,4829,970,10/11/2025,1/3/2026,,0,0,10/14/2025,5799,7739
recKid1JGQhl6ic6s,12/30/2025,244,38000,47499,0,0,0,0,-9499,9499,Arrears,0,0,0,0,Paid Off Cash,Paid Off,,4/30/2025,Y CASH,,,0,12309,1590,4/30/2025,12/31/2025,,0,0,8/2/2025,47499,38000
recsmdCxnIWEzDs3t,12/30/2025,230,35499,37299,19850,13,19850,0,-1800,1800,Arrears,0,0,0,0,Inactive 08-14,PAR 7,,5/14/2025,Y LOAN,,,0,5949,950,12/17/2025,12/31/2025,,0,0,12/19/2025,6899,35499
recFiUvSlgdgQGyji,12/30/2025,461,23729,39139,15410,258,15410,0,-15410,15410,Arrears,0,0,0,0,Write Off,PAR 30,,9/25/2024,Y LOAN,,,0,4299,670,4/16/2025,12/31/2025,,0,0,4/14/2025,4969,23729
recDGbQI5JOaiJnW7,12/30/2025,328,122345,122339,10444,0,10444,6,6,0,advance,0,0,0,0,Existing Active,Active,,2/5/2025,Y LOAN,,,0,24109,2090,12/31/2025,12/31/2025,,0,0,12/26/2025,26199,122345
recaDyZz6T88cc9lA,12/30/2025,21,37199,36449,107250,0,107250,750,750,0,advance,0,2250,0,0,New Active,Active,,12/9/2025,Y LOAN,,,0,27449,2250,1/6/2026,1/6/2026,,0,0,12/10/2025,29699,37199
recAM5wnTTDr51xHD,12/30/2025,741,44379,44479,0,0,0,0,-100,100,Arrears,0,0,0,0,Paid Off Loan,Paid Off,,12/20/2023,Y LOAN,,,0,5999,740,12/11/2024,12/31/2025,,100,0,12/11/2024,6739,44379
